geography code,num_bus_routes,num_train_routes,num_cycle_routes
E02000001,40.0,7.0,17.0
E02000002,5.0,0.0,0.0
E02000003,8.0,1.0,0.0
E02000004,1.0,1.0,0.0
E02000005,6.0,0.0,1.0
E02000007,8.0,0.0,1.0
E02000008,7.0,0.0,1.0
E02000009,6.0,0.0,1.0
E02000010,4.0,1.0,0.0
E02000011,3.0,1.0,0.0
E02000012,4.0,0.0,1.0
E02000013,3.0,1.0,0.0
E02000014,5.0,1.0,0.0
E02000015,3.0,1.0,0.0
E02000016,11.0,10.0,4.0
E02000017,9.0,4.0,1.0
E02000018,4.0,1.0,0.0
E02000019,5.0,7.0,1.0
E02000020,6.0,7.0,3.0
E02000021,5.0,7.0,0.0
E02000022,9.0,0.0,3.0
E02000023,6.0,7.0,1.0
E02000024,14.0,0.0,0.0
E02000025,13.0,1.0,1.0
E02000026,3.0,0.0,4.0
E02000027,11.0,0.0,1.0
E02000028,10.0,1.0,3.0
E02000029,6.0,1.0,3.0
E02000030,7.0,1.0,2.0
E02000031,7.0,1.0,4.0
E02000032,3.0,0.0,1.0
E02000033,7.0,1.0,1.0
E02000034,6.0,1.0,1.0
E02000035,5.0,0.0,3.0
E02000036,5.0,2.0,1.0
E02000037,6.0,2.0,0.0
E02000038,9.0,1.0,0.0
E02000039,7.0,1.0,1.0
E02000040,5.0,0.0,2.0
E02000041,11.0,0.0,1.0
E02000042,9.0,0.0,3.0
E02000043,6.0,0.0,3.0
E02000044,7.0,2.0,0.0
E02000045,6.0,0.0,0.0
E02000046,6.0,0.0,1.0
E02000047,7.0,0.0,0.0
E02000048,9.0,0.0,2.0
E02000049,2.0,2.0,0.0
E02000050,4.0,0.0,1.0
E02000051,7.0,0.0,3.0
E02000052,5.0,0.0,1.0
E02000053,5.0,2.0,0.0
E02000054,6.0,0.0,0.0
E02000055,7.0,0.0,1.0
E02000056,9.0,0.0,2.0
E02000057,8.0,0.0,1.0
E02000058,6.0,0.0,1.0
E02000059,7.0,2.0,0.0
E02000060,9.0,0.0,1.0
E02000061,16.0,0.0,1.0
E02000062,18.0,2.0,4.0
E02000063,8.0,0.0,0.0
E02000064,8.0,2.0,1.0
E02000065,7.0,0.0,3.0
E02000066,7.0,1.0,2.0
E02000067,6.0,1.0,4.0
E02000068,5.0,1.0,4.0
E02000069,4.0,0.0,1.0
E02000070,9.0,0.0,1.0
E02000071,4.0,0.0,0.0
E02000072,2.0,1.0,3.0
E02000073,4.0,0.0,0.0
E02000074,3.0,0.0,1.0
E02000075,6.0,0.0,0.0
E02000077,4.0,0.0,0.0
E02000078,4.0,0.0,1.0
E02000079,17.0,0.0,0.0
E02000080,6.0,0.0,0.0
E02000081,13.0,0.0,0.0
E02000082,7.0,0.0,0.0
E02000083,3.0,1.0,3.0
E02000084,11.0,0.0,0.0
E02000085,4.0,0.0,0.0
E02000086,4.0,0.0,0.0
E02000087,7.0,0.0,0.0
E02000088,4.0,0.0,0.0
E02000089,6.0,0.0,0.0
E02000090,12.0,0.0,0.0
E02000091,12.0,0.0,0.0
E02000092,7.0,0.0,0.0
E02000093,6.0,0.0,0.0
E02000094,7.0,0.0,0.0
E02000095,5.0,0.0,0.0
E02000096,8.0,5.0,2.0
E02000097,2.0,0.0,0.0
E02000098,7.0,0.0,0.0
E02000099,5.0,6.0,1.0
E02000100,11.0,7.0,1.0
E02000101,5.0,0.0,0.0
E02000102,3.0,0.0,2.0
E02000103,7.0,0.0,3.0
E02000104,4.0,6.0,1.0
E02000105,7.0,7.0,0.0
E02000106,5.0,2.0,3.0
E02000107,8.0,0.0,1.0
E02000108,3.0,1.0,0.0
E02000109,6.0,2.0,1.0
E02000110,4.0,0.0,0.0
E02000111,13.0,7.0,0.0
E02000112,10.0,6.0,3.0
E02000113,6.0,2.0,3.0
E02000114,6.0,2.0,0.0
E02000115,8.0,2.0,1.0
E02000116,8.0,2.0,0.0
E02000117,4.0,0.0,0.0
E02000118,12.0,6.0,2.0
E02000119,9.0,6.0,4.0
E02000120,7.0,7.0,1.0
E02000121,8.0,0.0,1.0
E02000122,4.0,1.0,0.0
E02000123,7.0,8.0,1.0
E02000124,9.0,7.0,1.0
E02000125,4.0,7.0,1.0
E02000126,8.0,6.0,1.0
E02000127,6.0,0.0,1.0
E02000128,6.0,0.0,0.0
E02000130,7.0,3.0,2.0
E02000131,13.0,3.0,2.0
E02000132,7.0,1.0,1.0
E02000133,9.0,1.0,1.0
E02000134,20.0,1.0,1.0
E02000135,9.0,2.0,1.0
E02000136,8.0,1.0,0.0
E02000137,8.0,1.0,1.0
E02000138,7.0,1.0,1.0
E02000139,5.0,1.0,2.0
E02000140,8.0,1.0,0.0
E02000141,5.0,0.0,1.0
E02000142,11.0,1.0,2.0
E02000144,20.0,1.0,3.0
E02000145,10.0,1.0,0.0
E02000146,11.0,1.0,1.0
E02000147,6.0,1.0,1.0
E02000148,6.0,1.0,1.0
E02000149,11.0,1.0,0.0
